param,price
6319,885.4322021272425
6344,870.9177991372769
6369,856.5329801995945
6394,842.2720844357334
6419,828.1387896884828
6444,814.1467560815056
6469,800.3019104780163
6494,786.5911930192649
6519,773.0265949082659
6544,759.598960484239
6569,746.3089655256694
6594,733.1545079354631
6619,720.1468520009081
6644,707.2880950682057
6669,694.5693163054246
6694,681.9890353281368
6719,669.5344177616764
6744,657.2003313088198
6769,644.9993494632257
6794,632.943792214215
6819,621.0335447261032
6844,609.2681121132977
6869,597.6468305013628
6894,586.1508911423232
6919,574.7976685540419
6944,563.6164014576432
6969,552.5941135224855
6994,541.725662558383
7019,531.017301218594
7044,520.4649261015057
7069,510.05361780599543
7094,499.7650418025084
7119,489.6353032481082
7144,479.67930105351957
7169,469.8841583914091
7194,460.2595831307849
7219,450.79928011139145
7244,441.4849932009668
7269,432.3110989712365
7294,423.3018957179307
7319,414.4370646780311
7344,405.7055704828087
7369,397.1124827801986
7394,388.65819238458306
7419,380.32779989023885
7444,372.1381369264734
7469,364.06568896649475
7494,356.10125060542356
7519,348.2931941501045
7544,340.66419310033774
