param,price
6319,1721.00906671374
6344,1699.5840583459176
6369,1678.2051825099431
6394,1656.8839066859134
6419,1635.6492384560668
6444,1614.490639795187
6469,1593.3997540120101
6494,1572.3873794287144
6519,1551.429801786046
6544,1530.5332374763655
6569,1509.7103509300973
6594,1488.9646014054517
6619,1468.2993029042118
6644,1447.6964827341833
6669,1427.1914082862363
6694,1406.7720406470128
6719,1386.4558871640263
6744,1366.2550807419873
6769,1346.1494561300924
6794,1326.1549765979473
6819,1306.2586059536063
6844,1286.4522525834668
6869,1266.7415353246151
6894,1247.149290905333
6919,1227.691976416291
6944,1208.374826633949
6969,1189.1901774989187
6994,1170.123204107782
7019,1151.1865054686225
7044,1132.368360523303
7069,1113.6855251054867
7094,1095.1338207406945
7119,1076.7267656047643
7144,1058.4742032846084
7169,1040.4007461960134
7194,1022.4522629805716
7219,1004.6489119586832
7244,987.0051949544311
7269,969.5226489483912
7294,952.205598569518
7319,935.0611769221265
7344,918.079180363798
7369,901.2568702427601
7394,884.6148647434865
7419,868.1477874535005
7444,851.8502294607907
7469,835.7083348236657
7494,819.754870208717
7519,803.9743653183688
7544,788.385012850156
