param,price
6319,1160.2666548372024
6344,1136.6277929882679
6369,1113.0847952838012
6394,1089.6491329031073
6419,1066.3234730236322
6444,1043.1036622256906
6469,1020.0172146904301
6494,997.0538911920529
6519,974.2395313277877
6544,951.5798467281217
6569,929.0906928917136
6594,906.7680848827537
6619,884.6203758629786
6644,862.6182868278673
6669,840.7955901947288
6694,819.1526928789981
6719,797.7078630514376
6744,776.4791707904857
6769,755.4800526266098
6794,734.7169576081054
6819,714.1743615066197
6844,693.8939529011426
6869,673.9029293959939
6894,654.164400771488
6919,634.6964734480379
6944,615.514043121479
6969,596.6269113732441
6994,578.0353561815433
7019,559.778195816673
7044,541.8491518789383
7069,524.2173998535683
7094,506.9012063356693
7119,489.91190120021645
7144,473.28931650264093
7169,456.9895851876526
7194,441.0295392090305
7219,425.34448230446606
7244,409.98099790453546
7269,394.9366779267659
7294,380.24045468369656
7319,365.88386661087014
7344,351.83958850141977
7369,338.144080010938
7394,324.7724337112908
7419,311.76713769843667
7444,299.13652823879517
7469,286.9123098475287
7494,275.0443036765837
7519,263.52703498564296
7544,252.34772948262238
